id,title,uri,Grading,Internal Comment,Number,Address,City,Postcode,Country,Email Address,About,Display Centre,Store Address,Publish Date,Sells Cladding,Sells Decking,Lat,Lng,Telephone Number,Telephone Number 2,Key Distributor,Premier Distributor,Approved Installer,Type of Installer/Distributor,Website
13,Travis Perkins Wimborne,/location/travis-perkins-wimborne,Gold,,35 Cobham Rd,Cobham Rd,Wimborne,BH21 7PF,United Kingdom,Ferndown@TravisPerkins.co.uk,,Off,"35 Cobham Rd
Cobham Rd
Wimborne 
BH21 7PF
United Kingdom",,Off,On,50.81175334,-1.918059245,01202 863444,,,1,,Premier Distributor,https://www.travisperkins.co.uk/
14,Kingsbury Builders Merchants (Potters Bar),/location/kingsbury-builders-merchants-(potters-bar),Gold,,Unit 1-2 Cranborne Ind Est,Cranborne Road,Potters Bar,EN6 3JN,United Kingdom,,,Display Center,"Unit 1-2 Cranborne Ind Est
Cranborne Road
Potters Bar
EN6 3JN
United Kingdom",,On,On,51.70606233,-0.201356159,020 7482 4661,,,,,,https://www.living-outdoors.co.uk/
17,W H Bond,/location/w-h-bond,Gold,,Bake Sawmill,Trerulefoot,Saltash,PL12 5BW,United Kingdom,,,Off,"Bake Sawmill
Trerulefoot
Saltash
PL12 5BW
United Kingdom",,On,On,50.40034672,-4.365274588,01503 240304,,,1,,Premier Distributor,https://whbond.co.uk/
18,MGM Timber (Scotland) Clydebank,/location/mgm-timber-(scotland)-clydebank,Gold,,"Business Park, Units 4 & 5 Bleasdale Court Clydebank","CV2 5DB Unit A, Castle Court, Bodmin Road,",Glasgow,G81 2LE,United Kingdom,John.Thomson@mgmtimber.com,,Off,"Business Park, Units 4 & 5 Bleasdale Court Clydebank
CV2 5DB Unit A, Castle Court, Bodmin Road,
Glasgow 
G81 2LE
United Kingdom","Fri, 02/09/2024 - 09:07",Off,Off,55.90593009,-4.40737641,0141 435 3424,,1,,,KEY Distributor,https://www.mgmtimber.co.uk/
24,The Outdoor Scene,/location/the-outdoor-scene,Gold,,The Outdoor Scene,2 Goatstown Rd,Dublin,D14 HC57,Ireland,sales@outdoor.ie,"Whether you're looking for a small outdoor space to relax in or a grand design to impress your guests, The Outdoor Scene Showroom in Goatstown, Dublin, will be able to cater to your every need.A testament to the absolute best landscaping and outdoor living products on the market, this incredible showroom is full of ideas and inspiration to get your creative juices flowing. Including both Millboard decking and Envello cladding, The Outdoor Scene Showroom also has an expanded offering of the latest and greatest in outdoor kitchen products, such as pizza ovens, garden furniture, BBQ's and much more.Visit The Outdoor Scene Showroom today or learn more by calling 01 296 0212 or emailing sales@outdoor.ie",Display Center,"The Outdoor Scene
2 Goatstown Rd
Roebuck
Dublin
D14 HC57
Ireland","Tue, 02/06/2024 - 15:35",On,On,53.29324722,-6.2302759,01 296 0212,,,,,Premier Distributor,https://www.outdoor.ie/
25,Creative Landscaping Works,/location/creative-landscaping-works,Gold,,Lisnenan,,Letterkenny,F92 CV09,Ireland,info@creativelandscapingworks.com,,Off,"Lisnenan
Letterkenny
F92 CV09
Ireland",,On,On,54.96220588,-7.711487772,3.54E+11,,,,,,https://creativelandscapingworks.com/contact/
26,MKM Building Supplies Oban,/location/mkm-building-supplies-oban,Ungraded,,MKM Building Supplies Oban,"Unit 7a, Glengallan Road",Oban,PA34 4HG,United Kingdom,oban@mkmbs.co.uk,,Off,"MKM Building Supplies Oban
Unit 7a, Glengallan Road
Oban
PA34 4HG
United Kingdom","Fri, 02/09/2024 - 09:07",Off,On,56.39697539,-5.48664667,01631 694 500,,,,,KEY Distributor,https://mkm.com/
27,MKM Building Supplies Peterhead,/location/mkm-building-supplies-peterhead,Ungraded,,MKM Building Supplies Peterhead,Sandford Business Park,Peterhead,AB42 3FX,United Kingdom,peterhead@MKMBS.co.uk,,Off,"MKM Building Supplies Peterhead
Sandford Business Park
Peterhead 
AB42 3FX
United Kingdom",,Off,On,57.48595891,-1.800850314,01779 568 888,,,,,KEY Distributor,https://mkm.com/
28,MKM Building Supplies Elgin,/location/mkm-building-supplies-elgin,Ungraded,,MKM Building Supplies Elgin,The Wards,Elgin,V30 6AA,United Kingdom,elgin@mkmbs.co.uk,,Off,"MKM Building Supplies Elgin
The Wards
Elgin 
V30 6AA
United Kingdom",,Off,On,57.64143342,-3.317890102,01343 323 200,,,,,Premier Distributor,https://mkm.com/
29,MKM Building Supplies Airdrie,/location/mkm-building-supplies-airdrie,Ungraded,,MKM Building Supplies Airdrie,30 Stirling Road,Airdrie,ML6 7JA,United Kingdom,airdrie@mkmbs.co.uk,,Off,"MKM Building Supplies Airdrie
30 Stirling Road
Airdrie
ML6 7JA
United Kingdom",,Off,On,55.87731056,-3.965190049,01236 750 216,,,,,KEY Distributor,https://mkm.com/branches/airdrie
30,MKM Building Supplies Carlisle,/location/mkm-building-supplies-carlisle,Ungraded,,MKM Building Supplies Carlisle,Kingmoor Park East,Carlisle,CA6 4SQ,United Kingdom,carlisle@mkmbs.co.uk,,Off,"MKM Building Supplies Carlisle
Kingmoor Park East
Carlisle
CA6 4SQ
United Kingdom","Fri, 02/09/2024 - 09:07",Off,On,54.92626378,-2.961698846,01228 934 777,,,,,KEY Distributor,https://mkm.com/
31,Chandlers Building Supplies Ltd - Thanet,/location/chandlers-building-supplies-ltd---thanet,Ungraded,,Chandlers Building Supplies,Units 1 & 3 Old Timber Yard,Ramsgate,CT12 6HJ,United Kingdom,thanet@chandlersbs.co.uk,,Off,"Chandlers Building Supplies
Units 1 & 3 Old Timber Yard
Ramsgate 
CT12 6HJ
United Kingdom",,On,On,51.33994804,1.38704571,01843 808250,,,,,Premier Distributor,http://www.chandlersbs.co.uk/
32,Huws Gray Arbroath,/location/huws-gray-arbroath,Gold,,Huws Gray Arbroath,Peasiehill Road,Arbroath,DD11 2NJ,United Kingdom,arbroath@huwsgray.co.uk,,Off,"Huws Gray Arbroath
Peasiehill Road
Arbroath
DD11 2NJ
United Kingdom",,On,On,56.55302681,-2.618049958,01241 430 003,,1,,,KEY Distributor,https://www.buildbase.co.uk/
36,City and Garden,/location/city-and-garden,Ungraded,,145,Tilbury Road,Leyton,E10 6RE,United Kingdom,info@roof-space.com,City & Garden has garnered over 30 years of experience in supply and installation of Luxury gardens and rooftop conversions.,Display Center,"145
Tilbury Road
Leyton
E10 6RE
United Kingdom",,On,On,51.5703,-0.0094,0207 0315731,07939 843981,,,,,https://www.cityandgarden.co.uk/
37,Bannister Hall Nurseries and Landscape Supplies,/location/bannister-hall-nurseries-and-landscape-supplies,Gold,,Bannister Hall nurseries and landscape supplies,Potter Ln,Preston,PR5 4EN,United Kingdom,sales@bannisterhall.co.uk,,Off,"Bannister Hall nurseries and landscape supplies
Potter Ln
Preston
PR5 4EN
United Kingdom",,On,On,53.75240012,-2.629784762,1772877087,,,1,,Premier Distributor,https://www.bannisterhall.com/
47,DeckZone,/location/deckzone,Ungraded,,Composite House,"Unit 3, Belle Vue Ave",Manchester,M12 4AS,United Kingdom,,,Off,"Composite House
Unit 3, Belle Vue Ave
Manchester
M12 4AS
United Kingdom",,Off,On,53.4604703,-2.198434,0161 989 5973,,,,,,https://www.deckzone.co.uk/
71,TG Builders Merchants,/location/tg-builders-merchants,Silver,,Chartwell Park,Stourbridge Road,Bridgnorth,WV15 6AN,United Kingdom,,,Off,"Chartwell Park
Stourbridge Road
Bridgnorth
WV15 6AN
United Kingdom",,Off,On,52.52787925,-2.39735562,01746 788030,,,1,,Premier Distributor,https://www.tgbuildersmerchants.co.uk
