id,title,uri,Grading,Internal Comment, Number,Address,City,Postcode, Country,Email Address,About,Display Centre, Store Address,Publish Date,Sells Cladding,Sells Decking,Lat,Lng,Telephone Number,Telephone Number 2,Key Distributor,Premier Distributor,Approved Installer,Type of Installer,Website
1,Essex Home Improvements,/location/essex-home-improvements,,,Essex Home Improvements Ltd,26 Park Avenue,Essex,CM1 2AA,United Kingdom,shane@essexhomeimprovementsltd.co.uk,,Off,United Kingdom,"Wed, 07/03/2024 - 08:50",Off,Off,51.74070542,0.45635665,1245630495,,,,1,approved_installer,https://www.essexhomeimprovementsltd.co.uk
2,Scorfield Landscapes,/location/scorfield-landscapes,,,Unit 5,Sandbeck Park,Wetherby,LS22 7TW,United Kingdom,info@scorfield.co.uk,,Off,United Kingdom,"Fri, 06/21/2024 - 09:12",Off,Off,53.93829147,-1.3809415,1937589600,,,,1,Approved Installer,https://www.scorfield.co.uk
3,Bosworths Landscaping,/location/bosworths-landscaping,,,Bosworth's Landscaping Ltd,"110 Finedon Road,",Northants,NN15 5QA,United Kingdom,manager@bosworthslandscaping.co.uk,,Off,United Kingdom,"Tue, 06/18/2024 - 15:46",Off,Off,52.35566842,-0.68425955,01536 722635,,,,1,Approved Installer,https://bosworthslandscaping.co.uk/
4,Stone Wood Saw,/location/stone-wood-saw,,,Stone Wood Saw,The Grove,Woking,GU21 4AF,United Kingdom,info@stonewoodsaw.co.uk,"The Stone Wood Saw Company provide high quality Millboard decking and residential landscaping services for clients in Woking, Weybridge, Guildford, Camberley and the surrounding areas. They specialize in Millboard decking installations and are trained and accredited by Millboard as Approved Installers. The team at Stone Wood Saw have over 40 years of building and landscaping experience covering all aspects of domestic landscaping.",Off,United Kingdom,"Tue, 06/18/2024 - 15:26",Off,Off,51.32390107,-0.5557473,7767806571,,,,1,Approved Installer,https://www.stonewoodsaw.co.uk/
5,TimberRoc,/location/timberroc,,,37 Woodmansterne Lane,,Banstead,SM7 3HA,United Kingdom,info@timberroc.co.uk,"TIMBER | ROC are master craftsmen with many years of experience and limitless designs, both internal and external. We will work directly with you from the first initial meeting, right through until completion. We take pleasure in making your creative ideas become reality.",Off,United Kingdom,"Tue, 06/18/2024 - 15:08",Off,Off,51.32458722,-0.1787683,7912185416,,,,1,Approved Installer,http://www.timberroc.co.uk/
6,Bright River Ltd,/location/bright-river-ltd,,,6 St Peters Street,,Hertfordshire,AL1 3LF,United Kingdom,info@brightriverltd.com,"Your premier destination for high-quality Millboard composite decking in Hertfordshire. With over five years of dedication, we specialize in designing and installing exceptional outdoor spaces tailored to your vision. Our commitment to excellence and innovation sets us apart, as we offer unique deck designs featuring curves, built-in planters, and bespoke water features. Our eco-friendly approach includes using ground screws for foundations to ensure durability without harming the environment, and our joists are waterproofed for longevity.",Off,United Kingdom,"Tue, 06/18/2024 - 14:59",Off,Off,51.75237902,-0.3382745,01727 613233,,,,1,Approved Installer,https://www.brightriverltd.com/
7,Paul Wood Landscaping,/location/paul-wood-landscaping,,,Paul Wood Landscaping,11 Bramley Way,"West Malling, Kent",ME19 4BD,United Kingdom,info@paulwoodlandscaping.com,"Paul Wood Landscaping is based in West Malling, Kent and is a business specialising in all aspects of garden landscaping and building, from patios, driveways, fencing and turfing to complete garden design. Paul can also offer external and internal building work, and is a skilled brick layer.Paul has several years experience and is only too happy to work with the client to find an affordable way of making the most of your outdoor space. Whether you're looking to replace old paving, or create a new area with decking, Paul can help find the best solution to suit you.Paul studied Garden Design at Hadlow College and attained a City & Guilds qualification. Accordingly, he is  well placed to help design your garden and offer advice on which plants and shrubs are most suitable to your needs/requirements.Please get in touch for a no obligation quote, and for some friendly and helpful advice.",Off,United Kingdom,"Wed, 03/13/2024 - 17:10",Off,Off,51.26759282,0.39565185,01732 872361,07795 954901,,,1,Approved Installer,
8,Laywoods Decking,/location/laywoods-decking,,,Laywoods Decking,23 Ham Green,Bristol,BS20 0EY,United Kingdom,info@laywoods.com,"Laywoods Decking - Quality, Professional Decking Installation. 
We specialise in decking projects with a focus on attention to detail, whilst delivering quality that’s built to last. 
Timber and composite decking design and build throughout Bristol and surrounding areas.",Off,United Kingdom,"Wed, 03/13/2024 - 16:44",Off,Off,51.47759062,-2.6815822,7773334418,,,,1,Approved Installer,https://laywoods.com/
9,The Deck Dude,/location/deck-dude,,,"The Deck Dude,",Bewick Mews,London,SE15 1QR,United Kingdom,info@thedeckdude.co.uk,"The Deck Dude is passionate about installing functional & contemporary; timber and composite products in gardens across London. We have a low maintenance approach to planting and a focus on durable products.
Keri has a unique background from the corporate world at Deloitte to over a decade of landscaping experience. He uses this diverse background to work with our clients to achieve gardens that they love to use, but with functionality and space saving always at the forefront.",Off,United Kingdom,"Wed, 02/28/2024 - 21:09",Off,Off,51.47706932,-0.0616217,7861730542,,,,1,Approved Installer,https://www.thedeckdude.co.uk/
10,Conway Landscapes UK Ltd,/location/conway-landscapes-uk-ltd,,,Great Hallingbury,,Bishops Stortford,CM22 7TQ,United Kingdom,cormac@conwaylandscapes.com,,Off,United Kingdom,,Off,Off,51.86960796,0.205330988,1279508887,7713681196,,,1,Approved Installer,https://www.conwaylandscapes.com/
