id,title,uri,Grading,Internal Comment, Number,Address,City,Postcode, Country,Email Address,About,Display Centre, Store Address,Publish Date,Sells Cladding,Sells Decking,Lat,Lng,Telephone Number,Telephone Number 2,Key Distributor,Premier Distributor,Approved Installer,Type of Installer,Website
6716,Essex Home Improvements,/location/essex-home-improvements,,,Essex Home Improvements Ltd,26 Park Avenue,Essex,CM1 2AA,United Kingdom,shane@essexhomeimprovementsltd.co.uk,,Off,United Kingdom,"Wed, 07/03/2024 - 08:50",Off,Off,51.74070542,0.45635665,1245630495,,,,1,Approved Installer,https://www.essexhomeimprovementsltd.co.uk
6711,Arnold Laver,/location/arnold-laver-Borehamwood,,,Arnold Laver,Hertsmere Industrial park,North London,WD6 1WS,United Kingdom,borehamwood@laver.co.uk,,Display Center,United Kingdom,"Thu, 06/27/2024 - 09:40",On,On,51.66258082,-0.28914645,1923336666,,,1,,Premier Distributor,
6706,Arnold Laver,/location/arnold-laver-Bradford,,,Arnold Laver,Manningham Sawmills,Bradford,BD2 1AR,United Kingdom,bradfordsales@laver.co.uk,,Off,United Kingdom,"Thu, 06/27/2024 - 09:30",On,On,53.81337967,-1.75956375,1274732861,,,1,,Premier Distributor,
6701,Arnold Laver,/location/arnold-laver-bristol,,,Arnold Laver,Unit A,Bristol,BS11 9YH,United Kingdom,bristol@laver.co.uk,,Off,United Kingdom,"Thu, 06/27/2024 - 09:28",On,On,51.50519242,-2.68593235,1173121160,,,1,,Premier Distributor,
6696,Arnold Laver,/location/arnold-laver-cheltenham,,,Arnold Laver,"5 Kingsditch Lane,",Cheltenham,GL51 9PE,United Kingdom,cheltenhamsales@laver.co.uk,,Off,United Kingdom,"Thu, 06/27/2024 - 09:24",On,On,51.91391937,-2.0961385,1242698650,,,1,,Premier Distributor,
6691,Arnold Laver,/location/arnold-laver-hull,,,Arnold Laver,Crowle Street,Hull,HU9 1RH,United Kingdom,hullsales@laver.co.uk,,Off,United Kingdom,"Thu, 06/27/2024 - 09:16",On,On,53.74896657,-0.30502735,1482761220,,,1,,Premier Distributor,
6686,Arnold Laver,/location/arnold-laver-manchester,,,Arnold Laver,"Liverpool Road,",Manchester,M44 5BZ,United Kingdom,manchestersales@laver.co.uk,,Off,United Kingdom,"Thu, 06/27/2024 - 09:05",On,On,53.42196583,-2.4390443,1617779000,,,1,,Premier Distributor,
6681,Arnold Laver,/location/arnold-laver-leeds,,,Arnold Laver,Pontefract Road,Leeds,LS10 1SW,United Kingdom,leeds@laver.co.uk,,Off,United Kingdom,"Thu, 06/27/2024 - 09:03",On,On,53.7692932,-1.5033943,1132704086,,,1,,Premier Distributor,
6676,Arnold Laver,/location/arnold-laver-northallerton,,,Arnold Laver,Standard House,Northallerton,DL6 2NA,United Kingdom,northallertonsales@laver.co.uk,,Off,United Kingdom,"Thu, 06/27/2024 - 08:57",On,On,54.35030442,-1.4412443,1609751110,,,1,,Premier Distributor,
6671,Arnold Laver,/location/arnold-laver-milton-keynes,,,Arnold Laver,Unit 2 Roebuck Way,Milton Keynes,MK5 8HL,United Kingdom,miltonkeynes@laver.co.uk,,Off,United Kingdom,"Thu, 06/27/2024 - 08:37",On,On,52.02361162,-0.7733791,1908802670,,,1,,Premier Distributor,
